Card Name	NU Total	NU WinRate	U Total	U WinRate
Shrug It Off	2262	42.71	829	57.78
Pommel Strike	1173	30.35	1467	54.06
Anger	848	24.65	314	32.17
Headbutt	791	43.62	160	50.63
Twin Strike	699	27.04	263	34.98
Thunderclap	611	25.04	129	47.29
True Grit	551	33.21	1309	53.78
Clothesline	430	33.02	239	44.35
Body Slam	375	56.8	623	66.13
Cleave	352	17.05	187	28.34
Sword Boomerang	333	32.13	213	52.11
Armaments	301	29.24	1661	44.43
Warcry	266	35.71	493	62.68
Iron Wave	222	23.42	118	30.51
Heavy Blade	220	35.91	268	51.49
Wild Strike	213	23.47	93	38.71
Perfected Strike	193	21.24	237	24.05
Havoc	171	41.52	264	61.74
Flex	110	30.91	120	45
Clash	42	7.14	15	20
Feel No Pain	1250	43.04	982	69.35
Second Wind	1128	47.52	577	64.47
Power Through	1128	46.45	512	60.16
Battle Trance	1068	41.2	584	62.5
Disarm	998	49.6	630	58.73
Burning Pact	954	49.9	647	69.24
Shockwave	880	46.59	1039	57.94
Dark Embrace	861	49.48	1025	64.49
Bloodletting	791	43.62	426	70.19
Dropkick	764	40.97	200	61.5
Flame Barrier	747	42.17	380	51.58
Evolve	741	40.22	710	62.25
Seeing Red	661	51.89	283	67.49
Spot Weakness	649	40.68	428	53.74
Ghostly Armor	550	38	149	54.36
Inflame	442	33.71	614	40.23
Pummel	372	42.74	108	53.7
Reckless Charge	350	44.86	102	52.94
Metallicize	348	39.94	153	47.06
Rage	335	41.49	302	58.28
Sentinel	323	52.94	223	69.51
Hemokinesis	312	27.56	359	32.87
Whirlwind	307	26.06	959	39.62
Blood for Blood	306	31.05	472	38.56
Dual Wield	302	55.63	314	68.15
Carnage	301	36.21	518	41.89
Uppercut	277	36.46	806	46.9
Intimidate	249	53.82	167	62.28
Entrench	242	64.88	296	72.64
Fire Breathing	227	36.12	166	37.35
Sever Soul	206	35.44	126	35.71
Combust	177	35.59	210	34.29
Infernal Blade	168	30.36	123	41.46
Rampage	149	26.17	107	28.04
Rupture	136	27.94	299	46.82
Searing Blow	26	19.23	15	13.33
Reaper	1001	55.44	148	66.22
Impervious	921	49.29	314	71.02
Offering	885	46.33	637	63.74
Feed	854	49.41	339	56.93
Fiend Fire	671	52.01	534	54.68
Exhume	662	58.76	171	64.33
Corruption	625	53.28	516	66.86
Barricade	399	53.38	442	66.52
Immolate	340	32.35	584	41.1
Double Tap	312	41.35	155	47.74
Limit Break	308	44.16	186	58.06
Brutality	251	46.22	168	68.45
Demon Form	223	39.46	497	53.72
Juggernaut	146	45.89	129	50.39
Berserk	118	39.83	138	48.55
Bludgeon	113	30.97	252	42.06
